slide,topic,arabic,urdu,confidence
06,highlight,"﴿وَيَقُولُونَ مَتَى هٰذَا الْفَتْحُ﴾",,high
06,highlight,"﴿وَنُذِيقُهُ يَوْمَ الْقِيَامَةِ عَذَابَ الْحَرِيقِ﴾",,high
06,highlight,"﴿وَزَادَهُ بَسْطَةً فِي الْعِلْمِ وَالْجِسْمِ﴾",,high
06,highlight,"﴿فَرِيضَةً مِنَ اللهِ﴾",,high
06,highlight,"﴿إِنْ أُرِيدُ إِلَّا الْإِصْلَاحَ﴾",,high
06,highlight,"﴿شَهْرُ رَمَضَانَ الَّذِي أُنْزِلَ فِيهِ الْقُرْآنُ﴾",,high
06,highlight,"﴿أَدْعُوكُمْ إِلَى النَّجَاةِ﴾",,high
06,highlight,"﴿وَيَأْمُرُونَ النَّاسَ بِالْبُخْلِ﴾",,high
06,highlight,"﴿لَهُمْ مَغْفِرَةٌ وَأَجْرٌ كَبِيرٌ﴾",,high
06,highlight,"﴿مَوْعِدُكُمْ يَوْمُ الزِّينَةِ﴾",,high
07,highlight,"﴿وَلَا تَسْتَوِي الْحَسَنَةُ وَلَا السَّيِّئَةُ﴾",,high
07,highlight,"﴿وَاللهُ ذُو الْفَضْلِ الْعَظِيمِ﴾",,high
07,highlight,"﴿وَمَا كَانَ اسْتِغْفَارُ إِبْرَاهِيمَ لِأَبِيهِ﴾",,high
07,highlight,"﴿وَمَنْ كَانَ فَقِيرًا فَلْيَأْكُلْ بِالْمَعْرُوفِ﴾",,high
07,highlight,"﴿وَيُعَلِّمُهُمُ الْكِتَابَ وَالْحِكْمَةَ﴾",,high
07,highlight,"﴿لَا يَسْتَوِي الْخَبِيثُ وَالطَّيِّبُ﴾",,high
07,highlight,"﴿إِنِّي تَرَكْتُ مِلَّةَ قَوْمٍ لَا يُؤْمِنُونَ بِاللهِ﴾",,high
07,highlight,"﴿لَا تُضَارَّ وَالِدَةٌ بِوَلَدِهَا﴾",,high
07,highlight,"﴿وَإِمَّا تَخَافَنَّ مِنْ قَوْمٍ خِيَانَةً﴾",,high
07,highlight,"﴿إِلَّا حَاجَةً فِي نَفْسِ يَعْقُوبَ﴾",,high
07,highlight,"﴿وَاخْتِلَافِ اللَّيْلِ وَالنَّهَارِ﴾",,high
07,highlight,"﴿وَيَقُولُونَ مَتَى هٰذَا الْوَعْدُ﴾",,high
08,highlight,"﴿فَخَرَجَ عَلَى قَوْمِهِ مِنَ الْمِحْرَابِ﴾",,high
08,highlight,"﴿ذٰلِكُمْ فِسْقٌ﴾",,high
08,highlight,"﴿أَنَّ الْقُوَّةَ لِلهِ جَمِيعًا﴾",,high
08,highlight,"﴿ثَلَاثَ مَرَّاتٍ مِنْ قَبْلِ صَلَاةِ الْفَجْرِ﴾",,high
08,highlight,"﴿مِنَ الْبَشَرِ أَحَدًا﴾",,high
08,highlight,"﴿مَا لَا يَرْضَى مِنَ الْقَوْلِ﴾",,high
08,highlight,"﴿فَجَزَاؤُهُ جَهَنَّمُ﴾",,high
08,highlight,"﴿جِئْنَاكَ بِالْحَقِّ وَأَحْسَنَ تَفْسِيرًا﴾",,high
08,highlight,"﴿وَعَلَيْهِمْ غَضَبٌ وَلَهُمْ عَذَابٌ شَدِيدٌ﴾",,high
08,highlight,"﴿اسْتَقَامُوا عَلَى الطَّرِيقَةِ﴾",,high
08,highlight,"﴿إِذْ هُمَا فِي الْغَارِ﴾",,high
08,highlight,"﴿لِكَيْلَا يَكُونَ عَلَيْكَ حَرَجٌ﴾",,high
09,sifat-highlight,"﴿إِنَّ اللهَ غَفُورٌ رَحِيمٌ﴾",,high
09,sifat-highlight,"﴿وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ﴾",,high
09,sifat-highlight,"﴿إِنَّ اللهَ قَادِرٌ﴾",,high
09,sifat-highlight,"﴿إِنَّ رَبِّي قَرِيبٌ مُجِيبٌ﴾",,high
09,sifat-highlight,"﴿عَالِمُ الْغَيْبِ وَالشَّهَادَةِ﴾",,high
09,sifat-highlight,"﴿إِنَّ رَبَّنَا لَغَفُورٌ شَكُورٌ﴾",,high
10,plural-highlight,"﴿وَلَهُمْ أَعْمَالٌ مِنْ دُونِ ذٰلِكَ﴾",,high
10,plural-highlight,"﴿تِلْكَ حُدُودُ اللهِ فَلَا تَقْرَبُوهَا﴾",,high
10,plural-highlight,"﴿فَانْظُرْ إِلَى آثَارِ رَحْمَةِ اللهِ﴾",,high
10,plural-highlight,"﴿وَأَنَّ الْمَسَاجِدَ لِلهِ﴾",,high
10,plural-highlight,"﴿وَإِذَا النُّفُوسُ زُوِّجَتْ﴾",,high
10,plural-highlight,"﴿وَلَا تَنَابَزُوا بِالْأَلْقَابِ﴾",,high
10,plural-highlight,"﴿لَا تَسْأَلُوا عَنْ أَشْيَاءَ﴾",,high
10,plural-highlight,"﴿لَهُمْ قُلُوبٌ لَا يَفْقَهُونَ بِهَا﴾",,high
10,plural-highlight,"﴿وَإِلَى اللهِ تُرْجَعُ الْأُمُورُ﴾",,high
11,plural-highlight,"﴿يَكْفُرُونَ بِآيَاتِ اللهِ﴾",,high
11,plural-highlight,"﴿وَعَلَامَاتٍ وَبِالنَّجْمِ هُمْ يَهْتَدُونَ﴾",,high
11,plural-highlight,"﴿فَأَصَابَهُمْ سَيِّئَاتُ مَا عَمِلُوا﴾",,high
11,plural-highlight,"﴿يُرِيهِمُ اللهُ أَعْمَالَهُمْ حَسَرَاتٍ﴾",,high
11,plural-highlight,"﴿سَنُدْخِلُهُمْ جَنَّاتٍ تَجْرِي مِنْ تَحْتِهَا﴾",,high
11,plural-highlight,"﴿يُخْرِجُهُمْ مِنَ الظُّلُمَاتِ إِلَى النُّورِ﴾",,high
11,plural-highlight,"﴿وَمِنْ كُلِّ الثَّمَرَاتِ جَعَلَ فِيهَا﴾",,high
11,plural-highlight,"﴿فَتَلَقَّى آدَمُ مِنْ رَبِّهِ كَلِمَاتٍ﴾",,high
14,sifat-pair,"﴿وَاللهُ غَفُورٌ رَحِيمٌ﴾",اور اللہ معاف اور رحم کرنے والا ہے,high
14,sifat-pair,"﴿وَاللهُ غَفُورٌ حَلِيمٌ﴾",,high
14,sifat-pair,"﴿وَاللهُ غَنِيٌّ حَلِيمٌ﴾",,high
14,sifat-pair,"﴿وَاللهُ شَكُورٌ حَلِيمٌ﴾",,high
14,sifat-pair,"﴿وَاللهُ غَنِيٌّ حَمِيدٌ﴾",,high
14,sifat-pair,"﴿وَاللهُ سَمِيعٌ عَلِيمٌ﴾",,high
14,sifat-pair,"﴿وَاللهُ وَاسِعٌ عَلِيمٌ﴾",,high
14,sifat-pair,"﴿وَاللهُ عَزِيزٌ حَكِيمٌ﴾",,high
14,sifat-pair,"﴿وَاللهُ عَلِيمٌ حَكِيمٌ﴾",,high
15,hadha,"﴿سُبْحَانَكَ هٰذَا بُهْتَانٌ عَظِيمٌ﴾",,high
15,hadha,"﴿هٰذَا سِحْرٌ وَإِنَّا بِهِ كَافِرُونَ﴾",,high
15,hadha,"﴿يَغْشَى النَّاسَ هٰذَا عَذَابٌ أَلِيمٌ﴾",,high
15,hadha,"﴿هٰذَا هُدًى وَالَّذِينَ كَفَرُوا﴾",,high
15,hadha,"﴿فَسَيَقُولُونَ هٰذَا إِفْكٌ قَدِيمٌ﴾",,high
15,hadha,"﴿وَاتَّبِعُونِ هٰذَا صِرَاطٌ مُسْتَقِيمٌ﴾",,high
15,hadha,"﴿وَهٰذَا كِتَابٌ مُصَدِّقٌ﴾",,high
15,hadha,"﴿هٰذَا نَذِيرٌ مِنَ النُّذُرِ الْأُولَى﴾",,high
15,hadha,"﴿فَقَالَ الْكَافِرُونَ هٰذَا شَيْءٌ عَجِيبٌ﴾",,high
15,hadha,"﴿وَهٰذَا النَّبِيُّ وَالَّذِينَ آمَنُوا﴾",,high
15,hadha,"﴿لَوْلَا نُزِّلَ هٰذَا الْقُرْآنُ﴾",,high
15,hadha,"﴿لِلنَّاسِ فِي هٰذَا الْقُرْآنِ مِنْ كُلِّ مَثَلٍ﴾",,high
15,hadha,"﴿أَنْ أَكُونَ مِثْلَ هٰذَا الْغُرَابِ﴾",,high
15,hadha,"﴿وَأُوحِيَ إِلَيَّ هٰذَا الْقُرْآنُ﴾",,high
15,hadha,"﴿وَيَقُولُونَ مَتَى هٰذَا الْفَتْحُ﴾",,high
15,hadha,"﴿وَيَقُولُونَ مَتَى هٰذَا الْوَعْدُ﴾",,high
15,hadha,"﴿إِنَّ هٰذَا الْقُرْآنَ يَقُصُّ﴾",,high
15,hadha,"﴿مَالِ هٰذَا الرَّسُولِ يَأْكُلُ الطَّعَامَ﴾",,high
16,dhalika,"﴿ذٰلِكَ يَوْمٌ مَجْمُوعٌ لَهُ النَّاسُ﴾",,high
16,dhalika,"﴿ذٰلِكَ خَيْرٌ﴾",,high
16,dhalika,"﴿ذٰلِكَ مِنْ آيَاتِ اللهِ﴾",,high
16,dhalika,"﴿ذٰلِكَ وَعْدٌ غَيْرُ مَكْذُوبٍ﴾",,high
16,dhalika,"﴿ذٰلِكَ ذِكْرَى لِلذَّاكِرِينَ﴾",,high
16,dhalika,"﴿ذٰلِكَ تَخْفِيفٌ مِنْ رَبِّكُمْ﴾",,high
16,dhalika,"﴿ذٰلِكَ حَشْرٌ عَلَيْنَا يَسِيرٌ﴾",,high
16,dhalika,"﴿ذٰلِكَ الْكِتَابُ لَا رَيْبَ فِيهِ﴾",,high
16,dhalika,"﴿ذٰلِكَ الْفَضْلُ مِنَ اللهِ﴾",,high
16,dhalika,"﴿ذٰلِكَ الْخِزْيُ الْعَظِيمُ﴾",,high
16,dhalika,"﴿وَذٰلِكَ الْفَوْزُ الْعَظِيمُ﴾",,high
16,dhalika,"﴿وَذٰلِكَ الْفَوْزُ الْمُبِينُ﴾",,high
16,dhalika,"﴿ذٰلِكَ الدِّينُ الْقَيِّمُ﴾",,high
16,dhalika,"﴿وَقَضَيْنَا إِلَيْهِ ذٰلِكَ الْأَمْرَ﴾",,high
16,dhalika,"﴿ذٰلِكَ الْيَوْمُ الَّذِي كَانُوا﴾",,high
16,dhalika,"﴿فَوَقَاهُمُ اللهُ شَرَّ ذٰلِكَ الْيَوْمِ﴾",,high
16,dhalika,"﴿ذٰلِكَ الْيَوْمُ الْحَقُّ﴾",,high
17,hadhihi-tilka,"﴿وَلَا تَقْرَبَا هٰذِهِ الشَّجَرَةَ﴾",,high
17,hadhihi-tilka,"﴿ادْخُلُوا هٰذِهِ الْقَرْيَةَ﴾",,high
17,hadhihi-tilka,"﴿أَخْرِجْنَا مِنْ هٰذِهِ الْقَرْيَةِ﴾",,high
17,hadhihi-tilka,"﴿وَأُتْبِعُوا فِي هٰذِهِ الدُّنْيَا لَعْنَةً﴾",,high
17,hadhihi-tilka,"﴿أَحْسَنُوا فِي هٰذِهِ الدُّنْيَا﴾",,high
17,hadhihi-tilka,"﴿إِنَّمَا تَقْضِي هٰذِهِ الْحَيَاةَ الدُّنْيَا﴾",,med
17,hadhihi-tilka,"﴿هٰذِهِ النَّارُ الَّتِي كُنْتُمْ بِهَا تُكَذِّبُونَ﴾",,high
17,hadhihi-tilka,"﴿أَعْبُدَ رَبَّ هٰذِهِ الْبَلْدَةِ﴾",,high
17,hadhihi-tilka,"﴿تِلْكَ الْجَنَّةُ الَّتِي نُورِثُ﴾",,high
18,laam-takid,"﴿لَلْآخِرَةُ أَكْبَرُ دَرَجَاتٍ﴾",,high
18,laam-takid,"﴿إِنَّ لِي عِنْدَهُ لَلْحُسْنَى﴾",,high
18,laam-takid,"﴿إِنَّ عَلَيْنَا لَلْهُدَى﴾",,high
18,laam-takid,"﴿وَإِنَّ لَنَا لَلْآخِرَةَ وَالْأُولَى﴾",,high
18,laam-takid,"﴿وَلَلْآخِرَةُ خَيْرٌ لَكَ مِنَ الْأُولَى﴾",,high
18,laam-takid,"﴿وَإِنَّهُ لَلْحَقُّ مِنْ رَبِّكَ﴾",,high
19,afal-tafdil,"﴿هٰذَا أَكْبَرُ﴾",,high
19,afal-tafdil,"﴿وَالْآخِرَةُ خَيْرٌ﴾",,high
19,afal-tafdil,"﴿ذٰلِكَ أَدْنَى﴾",,high
19,afal-tafdil,"﴿وَلَلْآخِرَةُ خَيْرٌ﴾",,high
19,afal-tafdil,"﴿ذٰلِكَ خَيْرٌ﴾",,high
19,afal-tafdil,"﴿وَالصُّلْحُ خَيْرٌ﴾",,high
19,afal-tafdil,"﴿وَاللهُ خَيْرٌ وَأَبْقَى﴾",,high
19,afal-tafdil,"﴿ذٰلِكَ أَزْكَى﴾",,high
19,afal-tafdil,"﴿وَاللهُ أَعْلَمُ﴾",,high
19,afal-tafdil,"﴿وَالْآخِرَةُ خَيْرٌ وَأَبْقَى﴾",,high
