slide,lesson,topic,arabic,confidence
09,3,mukammal,"﴿وَأَنَّ اللهَ عَلَّامُ الْغُيُوبِ﴾",high
09,3,mukammal,"﴿أَنَّ اللهَ قَوِيٌّ شَدِيدُ الْعِقَابِ﴾",high
09,3,mukammal,"﴿أَنَّ اللهَ سَرِيعُ الْحِسَابِ﴾",high
09,3,mukammal,"﴿أَئِنَّكُمْ لَتَكْفُرُونَ﴾",med
09,3,mukammal,"﴿وَمَنْ غَيْرُ اللهِ﴾",med
09,3,mukammal,"﴿وَلَأَجْرُ الْآخِرَةِ أَكْبَرُ﴾",high
09,3,mukammal,"﴿وَلَأَجْرُ الْآخِرَةِ خَيْرٌ﴾",high
09,3,mukammal,"﴿وَلَلدَّارُ الْآخِرَةُ خَيْرٌ﴾",high
09,3,mukammal,"﴿وَلَعَذَابُ الْآخِرَةِ أَشَدُّ وَأَبْقَى﴾",high
09,3,mukammal,"﴿إِنَّمَا الْآيَاتُ عِنْدَ اللهِ﴾",high
10,6,jumla,"﴿إِنَّ الْهُدَى هُدَى اللهِ﴾",high
10,6,jumla,"﴿فَإِنَّ اللهَ سَرِيعُ الْحِسَابِ﴾",high
10,6,jumla,"﴿إِنَّ الدِّينَ عِنْدَ اللهِ الْإِسْلَامُ﴾",high
10,6,jumla,"﴿اللهُ خَالِقُ كُلِّ شَيْءٍ﴾",high
10,6,jumla,"﴿إِنَّ اللهَ عَالِمُ غَيْبِ السَّمَوَاتِ وَالْأَرْضِ﴾",high
10,6,jumla,"﴿فَعِنْدَ اللهِ ثَوَابُ الدُّنْيَا وَالْآخِرَةِ﴾",high
10,6,jumla,"﴿مَتَاعُ الدُّنْيَا قَلِيلٌ وَالْآخِرَةُ خَيْرٌ﴾",high
10,6,jumla,"﴿أَنَّ الْقُوَّةَ لِلهِ جَمِيعًا وَأَنَّ اللهَ شَدِيدُ الْعَذَابِ﴾",high
10,6,jumla,"﴿وَلِلهِ جُنُودُ السَّمَوَاتِ وَالْأَرْضِ وَكَانَ اللهُ عَلِيمًا حَكِيمًا﴾",high
10,6,jumla,"﴿وَلِلهِ مُلْكُ السَّمَوَاتِ وَالْأَرْضِ وَإِلَى اللهِ الْمَصِيرُ﴾",high
10,6,kana,"﴿وَكَانَ أَمْرُ اللهِ مَفْعُولًا﴾",high
10,6,kana,"﴿وَكَانَ عَهْدُ اللهِ مَسْؤُولًا﴾",high
10,6,kana,"﴿كُلُّ الطَّعَامِ كَانَ حِلًّا﴾",high
10,6,ma-illa,"﴿مَا الْمَسِيحُ ابْنُ مَرْيَمَ إِلَّا رَسُولٌ﴾",high
10,6,ma-illa,"﴿وَمَا الْحَيَاةُ الدُّنْيَا فِي الْآخِرَةِ إِلَّا مَتَاعٌ﴾",high
10,6,ma-illa,"﴿وَمَا الْحَيَاةُ الدُّنْيَا إِلَّا مَتَاعُ الْغُرُورِ﴾",high
10,6,jumla,"﴿عُزَيْرٌ ابْنُ اللهِ﴾",high
10,6,jumla,"﴿إِنَّمَا الْبَيْعُ مِثْلُ الرِّبَا﴾",high
10,6,jumla,"﴿يَدُ اللهِ مَغْلُولَةٌ﴾",high
07,7,kull-ayah,"﴿وَاللهُ عَلَى كُلِّ شَيْءٍ شَهِيدٌ﴾",high
07,7,kull-ayah,"﴿وَاللهُ بِكُلِّ شَيْءٍ عَلِيمٌ﴾",high
07,7,kull-ayah,"﴿إِنَّ اللهَ كَانَ عَلَى كُلِّ شَيْءٍ حَسِيبًا﴾",high
07,7,kull-ayah,"﴿فَإِنَّ اللهَ كَانَ بِكُلِّ شَيْءٍ عَلِيمًا﴾",high
07,7,kull-ayah,"﴿وَلِكُلِّ أُمَّةٍ أَجَلٌ﴾",high
07,7,kull-ayah,"﴿وَاللهُ عَلَى كُلِّ شَيْءٍ قَدِيرٌ﴾",high
07,7,kull-ayah,"﴿وَكَانَ اللهُ بِكُلِّ شَيْءٍ مُحِيطًا﴾",high
07,7,kull-ayah,"﴿لِكُلِّ أُمَّةٍ جَعَلْنَا مَنْسَكًا﴾",med
07,7,kull-ayah,"﴿إِنَّ اللهَ عَلَى كُلِّ شَيْءٍ قَدِيرٌ﴾",high
08,8,faail-ayah,"﴿إِنَّ اللهَ قَادِرٌ﴾",high
08,8,faail-ayah,"﴿وَأَنَّ اللهَ تَوَّابٌ حَكِيمٌ﴾",high
08,8,faail-ayah,"﴿إِنَّ اللهَ كَانَ تَوَّابًا رَحِيمًا﴾",high
08,8,faail-ayah,"﴿هٰذَا سَاحِرٌ كَذَّابٌ﴾",high
08,8,faail-ayah,"﴿إِنَّ الْإِنْسَانَ لَظَلُومٌ كَفَّارٌ﴾",high
08,8,faail-ayah,"﴿إِنَّ إِبْرَاهِيمَ لَحَلِيمٌ أَوَّاهٌ مُنِيبٌ﴾",high
08,8,faail-ayah,"﴿إِنَّ فِي ذٰلِكَ لَآيَاتٍ لِكُلِّ صَبَّارٍ شَكُورٍ﴾",high
08,8,faail-ayah,"﴿لِلهِ الْوَاحِدِ الْقَهَّارِ﴾",high
10,10,combined,"﴿تِلْكَ آيَاتُ الْكِتَابِ الْحَكِيمِ﴾",high
10,10,combined,"﴿الر تِلْكَ آيَاتُ الْكِتَابِ الْمُبِينِ﴾",high
10,10,combined,"﴿تِلْكَ آيَاتُ الْقُرْآنِ وَكِتَابٍ مُبِينٍ﴾",high
10,10,combined,"﴿الر تِلْكَ آيَاتُ الْكِتَابِ وَقُرْآنٍ مُبِينٍ﴾",high
10,10,combined,"﴿إِنَّ زِلْزَالَ السَّاعَةِ شَيْءٌ عَظِيمٌ﴾",high
10,10,combined,"﴿وَكَانَ ذٰلِكَ عِنْدَ اللهِ فَوْزًا عَظِيمًا﴾",high
10,10,combined,"﴿تَنْزِيلُ الْكِتَابِ مِنَ اللهِ الْعَزِيزِ الْحَكِيمِ﴾",high
10,10,combined,"﴿وَكَانَ أَمْرُ اللهِ قَدَرًا مَقْدُورًا﴾",high
10,10,combined,"﴿مِنْ أَهْلِ الْكِتَابِ أُمَّةٌ قَائِمَةٌ﴾",high
10,10,combined,"﴿اللهُ لَا إِلٰهَ إِلَّا هُوَ رَبُّ الْعَرْشِ الْعَظِيمِ﴾",high
10,10,combined,"﴿وَالْآخِرَةُ خَيْرٌ وَأَبْقَى إِنَّ هٰذَا لَفِي الصُّحُفِ الْأُولَى صُحُفِ إِبْرَاهِيمَ وَمُوسَى﴾",high
12,12,kana-ayah,"﴿إِنَّ كَيْدَ الشَّيْطَانِ كَانَ ضَعِيفًا﴾",high
12,12,kana-ayah,"﴿إِنَّ قُرْآنَ الْفَجْرِ كَانَ مَشْهُودًا﴾",high
12,12,kana-ayah,"﴿إِنَّ يَوْمَ الْفَصْلِ كَانَ مِيقَاتًا﴾",high
12,12,kana-ayah,"﴿إِنَّ قَارُونَ كَانَ مِنْ قَوْمِ مُوسَى﴾",high
12,12,ma-illa,"﴿وَمَا النَّصْرُ إِلَّا مِنْ عِنْدِ اللهِ إِنَّ اللهَ عَزِيزٌ حَكِيمٌ﴾",high
12,12,ma-illa,"﴿وَمَا النَّصْرُ إِلَّا مِنْ عِنْدِ اللهِ الْعَزِيزِ الْحَكِيمِ﴾",high
13,13,participle-ayah,"﴿وَاللهُ عَلَى كُلِّ شَيْءٍ قَدِيرٌ﴾",high
13,13,participle-ayah,"﴿إِنَّ اللهَ غَفُورٌ رَحِيمٌ﴾",high
14,14,dual-ayah,"﴿رَبُّ الْمَشْرِقَيْنِ وَرَبُّ الْمَغْرِبَيْنِ﴾",high
14,14,dual-ayah,"﴿قَالَ رَبُّ السَّمَوَاتِ وَالْأَرْضِ﴾",med
