slide,section,arabic,urdu,notes,confidence
08,faaal-intensive,كَذَّاب,بہت جھوٹا,faaal,high
08,faaal-intensive,صَبَّار,بہت صبر کرنے والا,faaal,high
08,faaal-intensive,تَوَّاب,بہت توبہ قبول کرنے والا,faaal,high
08,faaal-intensive,وَهَّاب,بہت عطا کرنے والا,faaal,high
08,faaal-intensive,قَهَّار,زبردست غالب,faaal,high
08,faaal-intensive,فَتَّاح,بہت فیصلہ کرنے والا,faaal,high
08,faaal-intensive,عَلَّام,بہت جاننے والا,faaal,high
08,faaal-intensive,جَبَّار,زبردست,faaal,high
08,faaal-intensive,سَحَّار,بڑا جادوگر,faaal,med
08,faaal-intensive,سَمَّاع,خوب سننے والا,faaal,high
09,mu-active,مُسْلِم,اسلام لانے والا,ism-fail-mu,high
09,mu-active,مُهَاجِر,ہجرت کرنے والا,ism-fail-mu,high
09,mu-active,مُنْتَظِر,انتظار کرنے والا,ism-fail-mu,high
09,mu-active,مُجَاهِد,جہاد کرنے والا,ism-fail-mu,high
09,mu-active,مُصْلِح,اصلاح کرنے والا,ism-fail-mu,high
09,mu-active,مُفْسِد,فساد کرنے والا,ism-fail-mu,high
09,mu-active,مُحْسِن,احسان کرنے والا,ism-fail-mu,high
09,mu-active,مُؤْمِن,ایمان لانے والا,ism-fail-mu,high
09,mu-active,مُنَافِق,منافق,ism-fail-mu,high
09,mu-active,مُشْرِك,شرک کرنے والا,ism-fail-mu,high
09,mu-active,مُفْلِح,فلاح پانے والا,ism-fail-mu,high
09,mu-active,مُسْتَغْفِر,استغفار کرنے والا,ism-fail-mu,high
09,mu-active,مُتَّقِي,تقویٰ کرنے والا,ism-fail-mu,high
09,mu-active,مُتَوَكِّل,توکل کرنے والا,ism-fail-mu,high
09,mu-active,مُتَكَبِّر,تکبر کرنے والا,ism-fail-mu,high
09,mu-active,مُسْرِف,اسراف کرنے والا,ism-fail-mu,high
09,mu-active,مُعْرِض,اعراض کرنے والا,ism-fail-mu,high
09,mu-active,مُنْذِر,ڈرانے والا,ism-fail-mu,high
09,mu-active,مُذَكِّر,یاد دلانے والا,ism-fail-mu,high
09,mu-active,مُشْفِق,ڈرنے والا,ism-fail-mu,high
09,mu-active,مُخْلِص,اخلاص والا,ism-fail-mu,high
09,mu-active,مُسَبِّح,تسبیح کرنے والا,ism-fail-mu,high
09,mu-active,مُقْتَدِر,قدرت والا,ism-fail-mu,high
09,mu-passive,مُرْسَل,بھیجا گیا,ism-maful-mu,high
09,mu-passive,مُنَزَّل,نازل کیا گیا,ism-maful-mu,high
09,mu-passive,مُعَلَّم,سکھایا گیا,ism-maful-mu,high
09,mu-passive,مُكْرَم,عزت دیا گیا,ism-maful-mu,high
09,mu-passive,مُهْلَك,ہلاک کیا گیا,ism-maful-mu,high
09,mu-passive,مُحَمَّد,تعریف کیا گیا,ism-maful-mu,high
09,mu-passive,مُصْطَفَى,چنا گیا,ism-maful-mu,high
09,mu-passive,مُسَخَّر,تابع کیا گیا,ism-maful-mu,high
09,mu-passive,مُخَلَّص,خالص کیا گیا,ism-maful-mu,high
09,mu-passive,مُقَرَّب,قریب کیا گیا,ism-maful-mu,high
09,mu-passive,مُعَذَّب,عذاب دیا گیا,ism-maful-mu,high
09,mu-passive,مُحَرَّم,حرام کیا گیا,ism-maful-mu,high
09,mu-passive,مُحْضَر,حاضر کیا گیا,ism-maful-mu,high
09,mu-passive,مُبَعَّد,دور کیا گیا,ism-maful-mu,med
09,mu-passive,مُبَدَّل,بدلا گیا,ism-maful-mu,high
09,mu-passive,مُبَشَّر,خوشخبری دیا گیا,ism-maful-mu,high
